"Date","Heure","UTC","Volumes (MWh)","Prix (€/MWh)"
"06/06/2024","18:00:00 - 19:00:00","UTC -04:00","16464,9","84.92"
"06/06/2024","19:00:00 - 20:00:00","UTC -04:00","15972","81.68"
"06/06/2024","20:00:00 - 21:00:00","UTC -04:00","16359,3","64.92"
"06/06/2024","21:00:00 - 22:00:00","UTC -04:00","17016,5","48.11"
"06/06/2024","22:00:00 - 23:00:00","UTC -04:00","17300,3","41.04"
"06/06/2024","23:00:00 - 00:00:00","UTC -04:00","16822,1","62.59"
"07/06/2024","00:00:00 - 01:00:00","UTC -04:00","17057,8","71.49"
"07/06/2024","01:00:00 - 02:00:00","UTC -04:00","16921,9","71.52"
"07/06/2024","02:00:00 - 03:00:00","UTC -04:00","18387,9","82.56"
"07/06/2024","03:00:00 - 04:00:00","UTC -04:00","19073","72.04"
"07/06/2024","04:00:00 - 05:00:00","UTC -04:00","18349,3","48.98"
"07/06/2024","05:00:00 - 06:00:00","UTC -04:00","18468","41.39"
"07/06/2024","06:00:00 - 07:00:00","UTC -04:00","16463,1","33.91"
"07/06/2024","07:00:00 - 08:00:00","UTC -04:00","15763,9","25.36"
"07/06/2024","08:00:00 - 09:00:00","UTC -04:00","16014,3","18.34"
"07/06/2024","09:00:00 - 10:00:00","UTC -04:00","16618,2","19.58"
"07/06/2024","10:00:00 - 11:00:00","UTC -04:00","16883,7","27.08"
"07/06/2024","11:00:00 - 12:00:00","UTC -04:00","19014,3","37.54"
"07/06/2024","12:00:00 - 13:00:00","UTC -04:00","17741,3","56.2"
"07/06/2024","13:00:00 - 14:00:00","UTC -04:00","16388,2","82.84"
"07/06/2024","14:00:00 - 15:00:00","UTC -04:00","15967","69.29"
"07/06/2024","15:00:00 - 16:00:00","UTC -04:00","16214,4","61.33"
"07/06/2024","16:00:00 - 17:00:00","UTC -04:00","16349,7","78.62"
"07/06/2024","17:00:00 - 18:00:00","UTC -04:00","15501","84.29"
